Name,Category,Rating,Reviews,Address,Phone,Website,Plus Code,Hours,Status,Price Range,Latitude,Longitude,Place ID,Maps URL,Keyword,Captured At
Ivory Homes - Cranefield Estates,Home builder,4.2,31 reviews,"2277 N 3600 W, Clinton, UT 84015",(801) 985-5555,https://ivoryhomes.com/community-details/cranefield-estates,"4WW3+MR Clinton, Utah","Thursday11 AM–7 PM Friday(Juneteenth)11 AM–7 PM Saturday10 AM–7 PM Sunday Closed Monday 12–7 PM Tuesday 11 AM–7 PM Wednesday 11 AM–7 PM ",Closed,$,42.2258046,-118.0599406,0x87531a863646ad63,https://www.google.com/maps/place/Ivory+Homes+-+Cranefield+Estates,concrete contractor Syracuse UT,2026-06-18T17:27:58.797Z
Diamond Wrench,Plumber,5.0,6 reviews,N/A,(385) 368-3998,N/A,N/A,ThursdayOpen 24 hours Friday Open 24 hours Saturday Open 24 hours Sunday Open 24 hours Monday Open 24 hours Tuesday Open 24 hours Wednesday Open 24 hours,Open 24h,$,42.2258046,-118.0599406,0xde94e0753958539,https://www.google.com/maps/place/Diamond+Wrench,concrete contractor Syracuse UT,2026-06-18T17:27:54.511Z
Dirty Deeds Maid Service,House cleaning service,4.6,41 reviews,"1242 W 1075 N, Clinton, UT 84015",(385) 305-9009,https://lute-mandolin-a3hh.squarespace.com/,"4XH2+R3 Clinton, Utah","Thursday7 AM–6:35 PM Friday(Juneteenth)7 AM–6:35 PM Saturday Closed Sunday Closed Monday 7 AM–6:35 PM Tuesday 7 AM–6:35 PM Wednesday 7 AM–6:35 PM ",Closed,$,42.2258046,-118.0599406,0x87531b7b4a31d8b3,https://www.google.com/maps/place/Dirty+Deeds+Maid+Service,concrete contractor Syracuse UT,2026-06-18T17:27:49.563Z
Installation Services,Contractor,5.0,1 review,"1986 N 2000 W, Clinton, UT 84015",N/A,https://www.lowes.com/l/lowes-home-services.html,"4WRQ+XP Clinton, Utah",N/A,N/A,$,42.2258046,-118.0599406,0x87531bde976ba833,https://www.google.com/maps/place/Installation+Services,concrete contractor Syracuse UT,2026-06-18T17:27:43.923Z
Total Exteriors & Construction Inc,General contractor,5.0,1 review,"Roy, UT 84067",N/A,N/A,"5X6F+JC Roy, Utah",N/A,N/A,$,42.2258046,-118.0599406,0x8753055da9e3dadf,https://www.google.com/maps/place/Total+Exteriors+%26+Construction+Inc,concrete contractor Syracuse UT,2026-06-18T17:27:39.506Z
Utah ICF LLC,Construction material wholesaler,5.0,10 reviews,"340 Antelope Dr suite c103, Clearfield, UT 84015",(877) 864-8423,https://www.utahicf.com/,"3XQ9+R2 Clearfield, Utah","Thursday9 AM–12:30 PM Friday(Juneteenth)9 AM–12:30 PM Saturday Closed Sunday Closed Monday 9 AM–12:30 PM Tuesday 9 AM–12:30 PM Wednesday 9 AM–12:30 PM ",Closed,$,42.2258046,-118.0599406,0x87528fab005c5a8d,https://www.google.com/maps/place/Utah+ICF,+LLC,concrete contractor Syracuse UT,2026-06-18T17:27:34.582Z
Top Tier Concrete and Excavation LLC,Concrete contractor,3.6,15 reviews,N/A,(801) 499-4626,N/A,N/A,"Thursday6 AM–9 PM Friday 6 AM–9 PM Saturday 6 AM–9 PM Sunday 6 AM–9 PM Monday 6 AM–9 PM Tuesday 6 AM–9 PM Wednesday 6 AM–9 PM ",N/A,$,42.2258046,-118.0599406,0x87531dafe4f8f781,https://www.google.com/maps/place/Top+Tier+Concrete+and+Excavation+LLC,concrete contractor Syracuse UT,2026-06-18T17:27:30.019Z
Royalty Services Group,Concrete contractor,N/A,N/A,N/A,(385) 206-6100,https://www.royaltyservicesgroup.com/,N/A,N/A,N/A,N/A,40.8688336,-111.8889682,0xaeac3ca44a2ce7a5,https://www.google.com/maps/place/Royalty+Services+Group,concrete contractor Syracuse UT,2026-06-17T02:20:10.908Z
Ryan A Maestas and Son LLC,Concrete contractor,3.0,2 reviews,N/A,(801) 695-3665,N/A,N/A,"Tuesday7 AM–5 PM Wednesday 7 AM–5 PM Thursday 7 AM–5 PM Friday 7 AM–5 PM Saturday Closed Sunday Closed Monday 7 AM–5 PM ",Closed,N/A,41.066884,-111.9648746,0x875303db0fb900b7,https://www.google.com/maps/place/Ryan+A+Maestas+and+Son+LLC,concrete contractor Syracuse UT,2026-06-17T02:20:06.380Z
Otero's Concrete and Landscaping,Concrete contractor,5.0,1 review,N/A,(385) 247-5614,https://oterosconcretelandscaping.com/,N/A,"Tuesday6 AM–6 PM Wednesday 6 AM–6 PM Thursday 6 AM–6 PM Friday 6 AM–6 PM Saturday Closed Sunday Closed Monday 6 AM–6 PM ",Closed,N/A,41.223452,-112.1311432,0x8ff66c4ffe050863,https://www.google.com/maps/place/Otero's+Concrete+and+Landscaping,concrete contractor Syracuse UT,2026-06-17T02:19:47.539Z
Oldtimers Construction,Concrete contractor,N/A,N/A,N/A,(801) 628-9094,N/A,N/A,"Tuesday9 AM–5 PM Wednesday 9 AM–5 PM Thursday 9 AM–5 PM Friday 9 AM–5 PM Saturday Closed Sunday Closed Monday 9 AM–5 PM ",Closed,N/A,41.076476,-112.0759303,0x442227d0b1912d1b,https://www.google.com/maps/place/Oldtimers+Construction,concrete contractor Syracuse UT,2026-06-17T02:19:43.131Z
